structure,spg_symbol_framework,spg_number_framework,lattice_type_framework,crystal_system_framework,spg_symbol_structure,spg_number_structure,lattice_type_structure,crystal_system_structure
il0012995136_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004179044_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015171591_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015691136_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004158120_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013182870_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011306546_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014905727_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012973080_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015227288_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014877075_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014369623_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011943363_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011314560_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015600957_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015287412_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0007974555_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013871182_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015300051_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014200115_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014850960_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012960192_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008118815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012605940_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015288163_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015735364_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011893159_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0002972789_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014776611_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013906578_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0001873990_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014882914_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015686519_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008152381_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004195971_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015849984_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011262485_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008415046_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014793915_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014878433_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012693410_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013008242_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014953843_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014467440_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015249709_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004187326_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012920811_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004126635_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014917853_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012881472_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014894640_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015664251_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014753083_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015824915_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008136134_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009266761_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015504815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015296578_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013919230_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015664961_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015588282_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012612080_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013233063_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014930950_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013809404_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015105672_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014602128_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015823344_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004187255_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013182834_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012968172_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0008130653_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015836370_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014091943_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012955535_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004131919_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011526815_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012868154_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014459859_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015316629_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015888903_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012136072_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015589967_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015907963_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004254871_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015893316_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014775401_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0012929327_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0014751546_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0011330258_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0003625183_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0006899278_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015060624_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013254903_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009682516_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015823273_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015736365_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015272639_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0004186702_w192,C2/m,12,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0009892066_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0013327008_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
il0015229057_w192,C2,5,monoclinic,monoclinic,P1,1,triclinic,triclinic
